id,name,genres,year,countries,directors,actors,duration_minutes,plot,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,processed_rating,poster_path
284,Wake Up Dead Man,"Whodunnit,黑色喜剧,喜剧,惊悚片,戏剧,推理片,犯罪",2025.0,United States,Rian Johnson,"Top cast15,Edit,Daniel Craig,Benoit Blanc,Josh O'Connor",140.0,Benoit Blanc returns for his most dangerous case yet. Sequel to 'Glass Onion (2022)'.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,data/imdb_posters/284.jpg
285,Fall for Me,"情色惊悚片,惊悚片",2025.0,Germany,Sherry Hormann,"Top cast11,Edit,Svenja Jung,Lilli,Theo Trebs",103.0,"Lilli visits her sister Valeria, surprised to learn she's engaged to a Frenchman, Manu. She spontaneously meets nightclub manager Tom, sparking an instant connection. A dark secret lurks behind the island's events.",7.8,1.9,4.1,9.8,17.1,20.9,13.8,9.0,6.7,8.8,4.8,data/imdb_posters/285.jpg
286,28 Years Later: The Bone Temple,"丧尸恐怖片,恐怖",2026.0,"United Kingdom,United States",Nia DaCosta,"Top cast14,Edit,Ralph Fiennes,Dr. Kelson,Jack O'Connell",,A messenger on a bicycle awakens from a coma to discover that the world has been invaded by zombies following the outbreak of a virus.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,data/imdb_posters/286.jpg
287,Street Fighter,,2026.0,United States,Kitao Sakurai,"Top cast18,Edit,Jason Momoa,Blanka,David Dastmalchian",,"Street Fighters Ryu and Ken reunite when Chun-Li recruits them for the World Warrior Tournament. As they face a hidden conspiracy, they must confront each other and their past-or face destruction.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,data/imdb_posters/287.jpg
288,Anora,"热辣爱情,粗俗喜剧,黑色喜剧,喜剧,戏剧,爱情片",2024.0,United States,Sean Baker,"Top cast46,Edit,Mikey Madison,Ani,Paul Weissman",139.0,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",10.0,14.3,27.5,22.8,10.8,5.0,2.4,1.7,1.4,4.1,7.4,data/imdb_posters/288.jpg
289,John Candy: I Like Me,"传记,历史,喜剧,纪录片",2025.0,United States,Colin Hanks,"Top cast16,Edit,Tom Hanks,John Candy,Self",113.0,"Explores the life and legacy of the iconic funnyman John Candy, who died of a heart attack in 1994, at the age of 43.",41.5,7.4,7.4,13.8,4.3,4.3,0.0,1.1,0.0,20.2,7.5,data/imdb_posters/289.jpg
290,Freakier Friday,"身体互换喜剧,喜剧,家庭,幻想",2025.0,United States,Nisha Ganatra,"Top cast90,Edit,Jamie Lee Curtis,Tess Coleman,Lindsay Lohan",110.0,"22 years after Tess and Anna endured an identity crisis, Anna now has a daughter and a soon-to-be stepdaughter. As they navigate the challenges that come when two families merge, Tess and Anna discover that lightning might strike twice.",15.4,8.3,19.2,27.8,15.2,5.8,2.4,1.5,1.1,3.3,6.9,data/imdb_posters/290.jpg
291,Bring Her Back,"心理恐怖片,肉体恐怖片,超自然恐怖,恐怖,推理片",2025.0,Australia,"Danny Philippou,Michael Philippou","Top cast35,Edit,Billy Barratt,Andy,Sally Hawkins",104.0,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.,8.1,11.1,27.3,28.3,13.5,5.4,2.3,1.2,0.8,1.9,7.2,data/imdb_posters/291.jpg
292,A Working Man,"单打独斗动作片,阴谋惊悚片,惊悚片,行动",2025.0,"United Kingdom,United States",David Ayer,"Top cast53,Edit,Jason Statham,Levon Cade,Jason Flemyng",116.0,"Levon Cade left his profession behind to work construction and be a good dad to his daughter. But when a local girl vanishes, he's asked to return to the skills that made him a mythic figure in the shadowy world of counter-terrorism.",7.0,2.7,7.4,18.0,27.7,19.0,8.4,4.5,2.6,2.7,5.7,data/imdb_posters/292.jpg
293,Thunderbolts*,"心理剧情片,政治剧情片,超级英雄,黑暗奇幻,冒险,幻想,戏剧,犯罪,科幻,行动",2025.0,"United States,Australia,Canada",Jake Schreier,"Top cast44,Edit,Florence Pugh,Yelena Belova,Sebastian Stan",127.0,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts.",11.1,10.9,27.7,27.8,12.8,4.7,1.8,0.9,0.7,1.7,7.2,data/imdb_posters/293.jpg
294,Amsterdam,"时代剧,阴谋惊悚片,历史,喜剧,惊悚片,戏剧,推理片",2022.0,"United States,Japan",David O. Russell,"Top cast77,Edit,Christian Bale,Burt Berendsen,Margot Robbie",134.0,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",4.9,4.4,13.2,25.0,24.9,13.5,6.4,3.2,1.9,2.6,6.1,data/imdb_posters/294.jpg
295,The Bad Guys 2,"动物冒险片,电脑动画,盗窃,飙车动作片,冒险,动画,喜剧,家庭,推理片,犯罪",2025.0,United States,"JP Sans,Pierre Perifel","Top cast37,Edit,Sam Rockwell,Wolf,Marc Maron",104.0,"The Bad Guys are struggling to find trust and acceptance in their newly minted lives as Good Guys, when they are pulled out of retirement and forced to do ""one last job"" by an all-female squad of criminals.",15.4,9.3,22.7,30.8,13.9,3.9,1.3,0.6,0.5,1.5,7.1,data/imdb_posters/295.jpg
296,Black Phone 2,恐怖,2025.0,United States,Scott Derrickson,"Top cast10,Edit,Ethan Hawke,The Grabber,Mason Thames",114.0,"As Finn, now 17, struggles with life after his captivity, his sister begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp known as Alpine Lake.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,data/imdb_posters/296.jpg
297,Splitsville,"黑色喜剧,喜剧",2025.0,United States,Michael Angelo Covino,"Top cast25,Edit,Dakota Johnson,Julie,Adria Arjona",104.0,"When Ashley asks for a divorce, the good-natured Carey runs to his friends, Julie and Paul, for support. Their secret to happiness is an open marriage; that is, until Carey crosses the line and throws all of their relationships into chaos.",10.2,9.4,23.7,25.9,12.0,5.2,2.7,1.6,1.7,7.4,7.1,data/imdb_posters/297.jpg
298,Nobody,"单打独斗动作片,黑帮,黑色喜剧,惊悚片,戏剧,犯罪,行动",2021.0,"United States,China,Japan",Ilya Naishuller,"Top cast65,Edit,Bob Odenkirk,Hutch Mansell,Aleksey Serebryakov",92.0,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",10.3,11.7,30.0,29.8,11.6,3.6,1.3,0.7,0.4,0.7,7.4,data/imdb_posters/298.jpg
299,Nobody 2,"单打独斗动作片,黑色喜剧,喜剧,惊悚片,犯罪,行动",2025.0,"United States,Canada",Timo Tjahjanto,"Top cast61,Edit,Bob Odenkirk,Hutch Mansell,Connie Nielsen",89.0,"Suburban dad Hutch Mansell, a former lethal assassin, is pulled back into his violent past after thwarting a home invasion, setting off a chain of events",7.2,4.0,12.6,29.9,26.7,10.9,4.1,1.8,1.0,1.6,6.4,data/imdb_posters/299.jpg
300,Friendship,喜剧,2024.0,United States,Andrew DeYoung,"Top cast34,Edit,Tim Robinson,Craig,Paul Rudd",100.0,A suburban dad falls hard for his charismatic new neighbor.,7.6,7.5,20.4,27.9,17.8,8.4,3.7,2.3,1.7,2.7,6.8,data/imdb_posters/300.jpg
301,Bugonia,"外星人入侵,黑色喜剧,喜剧,犯罪,科幻",2025.0,"Ireland,United Kingdom,Canada,South Korea,United States",Yorgos Lanthimos,"Top cast28,Edit,Emma Stone,Michelle,Jesse Plemons",120.0,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",33.5,7.8,15.6,11.9,7.5,2.0,1.8,1.1,1.5,17.4,6.9,data/imdb_posters/301.jpg
302,Tron: Ares,"赛博朋克,冒险,科幻,行动",2025.0,United States,Joachim Rønning,"Top cast19,Edit,Evan Peters,Julian Dillinger,Jared Leto",,"A highly sophisticated Program, Ares, is sent from the digital world into the real world on a dangerous mission.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,data/imdb_posters/302.jpg
303,Honey Don't!,"Whodunnit,黑色喜剧,喜剧,惊悚片,推理片,犯罪",2025.0,"United Kingdom,United States",Ethan Coen,"Top cast38,Edit,Margaret Qualley,Honey O'Donahue,Aubrey Plaza",89.0,"A dark comedy about small-town private investigator Honey O'Donahue, who delves into a series of strange deaths tied to a mysterious church.",7.5,2.2,6.6,14.7,21.2,18.3,10.7,6.4,4.1,8.3,5.4,data/imdb_posters/303.jpg
304,How to Train Your Dragon,"剑与魔法,青少年幻想,青春冒险片,冒险,喜剧,家庭,幻想,戏剧,行动",2025.0,"United States,United Kingdom,Ireland,Iceland,Canada",Dean DeBlois,"Top cast22,Edit,Mason Thames,Hiccup,Nico Parker",125.0,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to both species forging a new future together.",23.9,18.6,29.3,17.6,5.8,1.9,0.8,0.5,0.4,1.3,7.8,data/imdb_posters/304.jpg
305,Highest 2 Lowest,"警察办案,惊悚片,戏剧,推理片,犯罪",2025.0,"United States,Japan",Spike Lee,"Top cast99+,Edit,Denzel Washington,David King,Jeffrey Wright",133.0,"When a titan music mogul is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma.",6.5,3.2,8.4,17.0,19.8,15.2,9.6,6.4,4.9,9.0,5.7,data/imdb_posters/305.jpg
306,A House of Dynamite,"惊悚片,戏剧",2025.0,United States,Kathryn Bigelow,"Top cast99+,Edit,Rebecca Ferguson,Captain Olivia Walker,Idris Elba",112.0,"Centered on White House staffers grappling with an impending missile strike on America, this gripping drama unfolds in real-time as tensions escalate.",25.7,7.4,13.4,21.3,8.4,5.4,1.5,1.0,1.5,14.4,7.0,data/imdb_posters/306.jpg
307,The Roses,"悲剧,神经喜剧,讽刺,黑色喜剧,喜剧",2025.0,"United Kingdom,Australia,United States",Jay Roach,"Top cast28,Edit,Olivia Colman,Ivy Rose,Benedict Cumberbatch",105.0,A tinderbox of competition and resentments underneath the façade of a picture-perfect couple is ignited when the husband's professional dreams come crashing down.,6.9,8.8,25.5,32.1,15.5,5.4,2.3,1.0,0.8,1.7,7.0,data/imdb_posters/307.jpg
308,Shell,"喜剧,恐怖,惊悚片",2024.0,United States,Max Minghella,"Top cast35,Edit,Elisabeth Moss,Samantha Lake,Kate Hudson",100.0,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface.",22.2,4.4,9.6,7.4,10.4,11.1,2.2,0.7,4.4,27.4,6.2,data/imdb_posters/308.jpg
309,Ballerina,"Gun Fu,单打独斗动作片,武术,惊悚片,行动",2025.0,"United States,Hungary",Len Wiseman,"Top cast35,Edit,Ana de Armas,Eve,Keanu Reeves",124.0,An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.,9.3,7.6,22.2,32.4,16.9,5.9,2.2,1.2,0.8,1.5,6.9,data/imdb_posters/309.jpg
310,The Fantastic Four: First Steps,"太空科幻,超级英雄,冒险,科幻,行动",2025.0,"United Kingdom,United States,Canada,New Zealand",Matt Shakman,"Top cast72,Edit,Pedro Pascal,Reed Richards,Vanessa Kirby",114.0,"Forced to balance their roles as heroes with the strength of their family bond, the Fantastic Four must defend Earth from a ravenous space god called Galactus and his enigmatic herald, the Silver Surfer.",11.2,11.1,27.3,27.4,12.6,4.5,2.0,1.0,0.7,2.2,7.3,data/imdb_posters/310.jpg
311,Lilo & Stitch,"冒险史诗,动作史诗,史诗,外星人入侵,太空科幻,奇幻史诗,拍档喜剧,科幻史诗,冒险,喜剧",2025.0,"United States,Australia,Canada",Dean Fleischer Camp,"Top cast80,Edit,Maia Kealoha,Lilo,Sydney Agudong",108.0,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family.",16.5,7.2,16.9,26.0,16.1,6.6,2.8,1.6,1.3,4.9,6.8,data/imdb_posters/311.jpg
312,Christy,"拳击,文献纪录片,传记,历史,戏剧,运动",2025.0,United States,David Michôd,"Top cast87,Edit,Sydney Sweeney,Christy Martin,Coleman Pedigo",135.0,"Tells the story of Christy Martin, the most successful female boxer of the 90s.",32.2,6.9,9.8,7.8,4.5,2.9,2.0,0.8,1.6,31.4,5.8,data/imdb_posters/312.jpg
313,Eden,"心理惊悚片,历史,惊悚片",2024.0,United States,Ron Howard,"Top cast19,Edit,Jude Law,Ritter,Ana de Armas",129.0,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",7.9,4.4,14.3,29.0,24.6,9.3,3.4,2.0,1.4,3.7,6.4,data/imdb_posters/313.jpg
314,Downton Abbey: The Grand Finale,戏剧,2025.0,"United Kingdom,United States",Simon Curtis,"Top cast45,Edit,Michelle Dockery,Lady Mary Talbot,Joanne Froggatt",123.0,"When Mary finds herself in a public scandal and the family faces financial trouble, the household grapples with the threat of social disgrace. The Crawleys must embrace change with the next generation leading Downton Abbey into the future.",27.6,14.7,25.3,16.7,7.1,2.5,0.3,1.5,0.8,3.5,8.0,data/imdb_posters/314.jpg
315,Param Sundari,爱情片,2025.0,India,Tushar Jalota,"Top cast43,Edit,Sidharth Malhotra,Param Sachdev,Janhvi Kapoor",152.0,"In Kerala's picturesque backwaters, a North Indian and South Indian find unexpected love. Their cultural differences spark a hilarious and chaotic romance, full of twists and turns. Two diverse worlds collide in a heartwarming story.",62.0,20.7,9.0,3.7,0.5,0.4,0.3,0.3,0.3,2.7,6.1,data/imdb_posters/315.jpg
316,Inspector Zende,"喜剧,犯罪",2025.0,India,Chinmay Mandlekar,"Top cast10,Edit,Manoj Bajpayee,Inspector Zende,Jim Sarbh",112.0,"After escaping prison, serial killer Carl Bhojraj returns to Mumbai, where Inspector Zende pursues him to capture the elusive criminal again.",13.2,4.5,9.4,18.7,19.4,14.0,5.5,3.8,3.0,8.6,5.8,data/imdb_posters/316.jpg
317,Happy Gilmore 2,"探索,粗俗喜剧,闹剧,高概念喜剧,喜剧,运动",2025.0,"United States,Filming locations,Fiddler's Elbow Country Club, 11 Rattlesnake Bridge Rd, Bedminster, New Jersey, USA",Kyle Newacheck,"Top cast99+,Edit,Adam Sandler,Julie Bowen,Virginia",114.0,"To provide for his family, a retired Happy Gilmore must pick up the golf clubs once more and reconnect with the sport he once dominated.",9.5,4.7,12.2,23.5,23.5,12.6,5.8,3.2,2.1,2.8,6.1,data/imdb_posters/317.jpg
318,Eenie Meanie,"飙车动作片,黑色喜剧,喜剧,惊悚片,戏剧,行动",2025.0,United States,Shawn Simmons,"Top cast83,Edit,Samara Weaving,Edie,Karl Glusman",106.0,A reformed teenage getaway driver is dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,4.7,2.8,8.7,22.2,30.5,16.8,6.5,3.0,1.7,3.6,5.9,data/imdb_posters/318.jpg
319,The Monkey,"血腥虐杀恐怖片,超自然恐怖,黑色喜剧,恐怖",2025.0,"United States,United Kingdom,Canada",Osgood Perkins,"Top cast35,Edit,Theo James,Hal,Tatiana Maslany",98.0,"When twin brothers Bill and Hal find their father's old monkey toy in the attic, a series of gruesome deaths start. The siblings decide to throw the toy away and move on with their lives, growing apart over the years.",12.2,2.6,8.8,19.5,24.4,15.0,7.5,4.1,2.5,3.3,5.9,data/imdb_posters/319.jpg
320,The Smashing Machine,"拳击,文献纪录片,传记,历史,戏剧,行动,运动",2025.0,"United States,Japan,Canada",Benny Safdie,"Top cast81,Edit,Dwayne Johnson,Mark Kerr,Emily Blunt",123.0,"The story of mixed-martial arts and UFC champion, Mark Kerr.",40.7,20.2,35.5,1.1,0.6,0.2,0.1,0.1,0.1,1.9,8.8,data/imdb_posters/320.jpg
321,Him,"心理恐怖片,肉体恐怖片,恐怖,运动",2025.0,United States,Justin Tipping,"Top cast43,Edit,Tyriq Withers,Cameron Cade,Marlon Wayans",96.0,A young athlete descends into a world of terror when he's invited to train with a legendary champion whose charisma curdles into something darker.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,data/imdb_posters/321.jpg
322,Lokah Chapter 1: Chandra,"超级英雄,幻想,行动",2025.0,India,Dominic Arun,"Top cast19,Edit,Kalyani Priyadarshan,Chandra,Naslen",151.0,"Chandra, a young woman, arrives in Bengaluru with a mission. Her neighbor, Sunny, sets out to unravel the mystery about her and they are on an unexpected adventure ride together.",52.5,18.3,14.2,6.8,2.6,1.1,0.4,0.3,0.5,3.4,8.2,data/imdb_posters/322.jpg
323,One Battle After Another,"黑色喜剧,惊悚片,戏剧,犯罪,行动",2025.0,United States,Paul Thomas Anderson,"Top cast64,Edit,Leonardo DiCaprio,Bob Ferguson,Benicio Del Toro",161.0,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue one of their own's daughter.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,data/imdb_posters/323.jpg
324,Final Destination Bloodlines,"血腥虐杀恐怖片,超自然恐怖,恐怖,惊悚片",2025.0,"United States,Canada","Zach Lipovsky,Adam B. Stein","Top cast39,Edit,Kaitlyn Santa Juana,Stefani Reyes,Teo Briones",110.0,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them.",8.3,6.0,18.2,32.9,20.5,7.7,3.0,1.4,0.8,1.2,6.8,data/imdb_posters/324.jpg
325,The Thursday Murder Club,"Whodunnit,喜剧,惊悚片,推理片,犯罪",2025.0,United States,Chris Columbus,"Top cast44,Edit,Helen Mirren,Elizabeth,Pierce Brosnan",118.0,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hands.",7.5,5.7,15.8,30.6,24.4,9.2,3.4,1.6,0.9,1.2,6.6,data/imdb_posters/325.jpg
326,The Map That Leads to You,"戏剧,爱情片",2025.0,United States,Lasse Hallström,"Top cast24,Edit,Madelyn Cline,Heather,KJ Apa",96.0,Heather's European adventure takes a turn when she meets Jack-sparking an unexpected emotional journey neither of them saw coming.,8.7,5.3,13.1,23.3,25.8,12.4,5.1,2.2,1.5,2.6,6.2,data/imdb_posters/326.jpg
327,Unknown Number: The High School Catfish,"犯罪纪录片,真实犯罪,犯罪,纪录片",2025.0,United States,Skye Borgman,"Top cast46,Edit,Lauryn Licari,Self - Stalking and Harassment Victim,Sophie Weber",94.0,A teen girl and her boyfriend face persistent harassment from an unknown caller. Police investigating the months of torment discover a revelation that upends their initial assumptions.,5.6,5.3,18.5,36.2,21.1,7.0,2.4,1.2,0.8,1.8,6.8,data/imdb_posters/327.jpg
328,28 Years Later,"丧尸恐怖片,恐怖,惊悚片,科幻",2025.0,"United Kingdom,United States,Canada",Danny Boyle,"Top cast51,Edit,Jodie Comer,Isla,Aaron Taylor-Johnson",115.0,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors.",6.0,7.3,19.6,26.3,17.7,9.3,4.8,3.0,2.1,3.9,6.7,data/imdb_posters/328.jpg
329,Materialists,"愉悦爱情,爱情喜剧,喜剧,爱情片",2025.0,"United States,Finland,United Kingdom",Celine Song,"Top cast29,Edit,Dakota Johnson,Lucy,Chris Evans",116.0,An ambitious young New York City matchmaker finds herself torn between the perfect match and her imperfect ex.,5.0,4.2,13.2,26.0,25.0,12.5,5.9,3.1,2.0,3.2,6.3,data/imdb_posters/329.jpg
330,Caught Stealing,"心理剧情片,心理惊悚片,黑帮,黑色喜剧,喜剧,惊悚片,犯罪",2025.0,United States,Darren Aronofsky,"Top cast51,Edit,Austin Butler,Hank Thompson,Regina King",107.0,"Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of 1990s New York City, forced to navigate a treacherous underworld he never imagined.",6.5,9.4,30.3,33.4,12.8,4.0,1.6,0.8,0.6,1.1,7.3,data/imdb_posters/330.jpg
331,Superman,"冒险史诗,动作史诗,史诗,科幻史诗,超级英雄,冒险,科幻,行动",2025.0,"United States,Canada,Australia,New Zealand",James Gunn,"Top cast99+,Edit,David Corenswet,Superman,Rachel Brosnahan",129.0,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world that views these as old-fashioned.",17.6,13.4,24.2,20.2,10.2,4.9,2.5,1.7,1.4,4.1,7.2,data/imdb_posters/331.jpg
332,Red Sonja,"剑与凉鞋,剑与魔法,超级英雄,冒险,幻想,惊悚片,戏剧,行动",2025.0,United States,MJ Bassett,"Top cast58,Edit,Matilda Lutz,Sonja,Robert Sheehan",110.0,"An adaptation of the comic book, Red Sonja, a vengeful warrior known as a ""She-Devil with a sword"".",7.7,2.2,4.4,7.3,12.0,15.0,13.3,9.5,9.2,19.4,4.4,data/imdb_posters/332.jpg
333,Frankenstein,"怪物恐怖片,悲剧,肉体恐怖片,幻想,恐怖,戏剧,科幻",2025.0,"Mexico,United States",Guillermo del Toro,"Top cast46,Edit,Jacob Elordi,The Creature,Mia Goth",149.0,A brilliant but egotistical scientist brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation,37.3,7.5,15.9,13.8,7.5,3.4,1.4,0.9,1.3,11.1,7.4,data/imdb_posters/333.jpg
334,The Amateur,"间谍,惊悚片,行动",2025.0,United States,James Hawes,"Top cast52,Edit,Rami Malek,Heller,Rachel Brosnahan",122.0,"When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands.",5.6,3.9,14.2,33.4,26.9,10.0,3.2,1.3,0.6,0.9,6.5,data/imdb_posters/334.jpg
335,Mahavatar Narsimha,"动作史诗,史诗,奇幻史诗,电脑动画,动画,幻想,戏剧,行动",2024.0,India,Ashwin Kumar,"Top cast21,Edit,Aditya Raj Sharma,Hiranyakashipu,Haripriya Matta",130.0,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.,86.2,6.1,2.7,1.3,0.6,0.4,0.2,0.4,0.3,1.9,9.1,data/imdb_posters/335.jpg
336,The Conjuring 2,"超自然恐怖,恐怖,惊悚片,推理片",2016.0,"Canada,United States,United Kingdom",James Wan,"Top cast55,Edit,Vera Farmiga,Lorraine Warren,Patrick Wilson",134.0,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,11.7,11.5,26.8,28.9,12.8,4.6,1.7,0.8,0.5,0.8,7.3,data/imdb_posters/336.jpg
337,The Toxic Avenger,"肉体恐怖片,血腥虐杀恐怖片,喜剧,恐怖,科幻,行动",2023.0,United States,Macon Blair,"Top cast64,Edit,Peter Dinklage,Winston,Jacob Tremblay",102.0,A horrible toxic accident transforms downtrodden janitor Winston Gooze into a new evolution of hero: the Toxic Avenger.,17.6,5.6,13.7,20.3,17.0,8.9,4.6,2.9,1.9,8.0,6.4,data/imdb_posters/337.jpg
338,The Brutalist,"史诗,戏剧",2024.0,"United States,United Kingdom,Canada",Brady Corbet,"Top cast38,Edit,Adrien Brody,László Tóth,Felicity Jones",216.0,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.,9.3,13.9,26.0,24.3,12.6,5.6,2.6,1.6,1.1,3.1,7.3,data/imdb_posters/338.jpg
339,The Legend of Man and Loong,行动,2024.0,China,Liang Zi-Li,,96.0,"The Huan Long family has lived and fought with dragons since ancient times. In the Dong Wenguang generation, they suddenly turned their backs on the dragon and I seal all the Kowloon Kings. In order to gain his father's approval, Dong Yiming Ignoring Dong Wenguang's interference, he secretly investigates Yong Jin-joo's whereabouts. But he is just a pawnshop in a game ...Read all",85.2,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,data/imdb_posters/339.jpg
340,McTaggart's Fortune,冒险,2014.0,United States,Gary Ambrosia,"Top cast19,Edit,Kathryn Adams,Marie Bukowski,Gary Ambrosia",,"Three high school students search for a lost treasure in their hometown, only to be haunted by the ghosts that protect the lost fortune.",64.3,7.1,0.0,0.0,0.0,0.0,0.0,7.1,7.1,14.3,9.8,data/imdb_posters/340.jpg
341,Jacket Thieves,戏剧,2024.0,United States,Luke Hart-Moynihan,"Top cast2,Edit,Rylee White,Toni,Omar A. Said",74.0,,66.7,11.1,0.0,0.0,11.1,0.0,0.0,0.0,11.1,0.0,9.8,data/imdb_posters/341.jpg
342,Babymetal: Legend - Metal Galaxy,音乐,2020.0,Japan,Chikara Tanaka,"Top cast4,Edit,Babymetal,Moa Kikuchi,Moa-Metal",136.0,Live concerts by Babymetal recorded on the 25. January 2020 and 26. January 2020 in Japan.,60.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,9.8,data/imdb_posters/342.jpg
343,Committed to the Craft,纪录片,2022.0,United States,,"Top cast9,Edit,Geoffrey Benson,Self,Chinedu Ernesto",,,86.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,9.9,data/imdb_posters/343.jpg
344,The 90s Club,,2022.0,,Robert Darwell,"Top cast1,Edit,Dick Van Dyke,Self,Robert Darwell",85.0,"It follows various people in their nineties as they talk about death, loss, love, accomplishment, and meaning.",82.1,2.6,5.1,2.6,0.0,0.0,0.0,0.0,2.6,5.1,9.8,data/imdb_posters/344.jpg
345,A Life in Tandem,纪录片,2024.0,United Kingdom,Mike Rumsey,"Top cast1,Edit,Luke Grenfell-Shaw,Self,Mike Rumsey",96.0,"The journey of a lifetime begins with the destruction of Luke's life as he is diagnosed with incurable cancer. Armed with a tandem bike, he aims to complete his dream of cycling to Beijing, not knowing if he will ever reach his destination",91.2,7.7,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,9.9,data/imdb_posters/345.jpg
346,Don Pollo: King of Ohio,"喜剧,纪录片",2025.0,Spain,,"Top cast2,Edit,Kappah,Don Pollo,All cast & crew",90.0,The story of an everyday man who became known worldwide by uploading videos eating in his car.,94.7,0.0,0.0,2.6,0.0,2.6,0.0,0.0,0.0,0.0,9.8,data/imdb_posters/346.jpg
347,Farmacy of Light: A Quantum Leap in Healing,纪录片,2025.0,United States,Ryan Wirick,"Top cast14,Edit,Christa Barfield,Zach Bush,Loghan Call",87.0,"With chronic disease and malnutrition rates skyrocketing, a renegade farmer uncovers the link between human health and the dire need for local, light-filled food. Will society align with the quantum physics of healing before it's too late?",70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.9,data/imdb_posters/347.jpg
348,Days of Géants 3: Dani Divova 3,纪录片,2024.0,Serbia,Dusan Nestorovic,"Top cast4,Edit,Dalibor Danicic,Dragoslav Markovic,Aljosa Spremo",82.0,,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,9.9,data/imdb_posters/348.jpg
349,Forever Endeavor,纪录片,2024.0,United States,"Jonathan Mann,Mary Anne Rothberg","Top cast4,Edit,Jim Lovell,Marc Mellon,Robert Osborne",75.0,"A lighthearted look at life's heavy questions. Co-director and historian Jonathan Mann guides us during this documentary on a thoughtful and whimsical journey as he asks, ""What's the point of it all?"" while searching for meaning in the face of the inevitable.",66.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,9.8,data/imdb_posters/349.jpg
